sppID;sppname;habitat;avoided_habitat;threats
A1;Alytes_cisternasii;"This species is closely associated with meadows and open oak ( Quercus ) forests, most often in sandy areas. Reproduction and larval development generally takes place in temporary waterbodies (most often stream habitats), occasionally in permanent waterbodies; larval development is relatively long in this species and may last more than one season. The species is not very adaptable.";;The main threats are the loss of suitable Mediterranean forest habitat, the introduction of predatory fishes and Louisiana Crayfish ( Procambarus clarkii ), and the loss of suitable aquatic habitats through pollution, canal construction, dams, and urbanization. A potential future threat is chytridiomycosis, which has already affected the related Alytes obstetricans in Spain.
A2;Alytes_dickhilleni;The species is present in pine and oak forests, most often on calciferous substrate, in open, very rocky landscapes. Adults occur in rock fissures and on stones next to water sources. Reproduction and larval development takes place in permanent mountain streams, man-made reservoirs and cattle troughs, and the larvae may take a long time to mature. Almost all known breeding habitats are human-modified water bodies.;;The species is threatened by loss of suitable breeding habitat as a result of excessive water withdrawal, droughts, and modernization of agricultural practices leading to the abandonment of cattle troughs and other man-made water sources. A potential future threat is the fungal disease chytridiomycosis, which has already impacted the related Alytes obstetricans in Spain.
A3;Alytes_muletensis;"It is currently found only in small streams deeply carved into limestone mountains. The presence of the species is positively associated with steep slopes. Breeding takes place in the small streams that persist as pools in summer. A few populations occur by man-made water sources (cattle troughs, containers, rain tanks etc.) in open mountainous country; these are within the river basins of nearby canyon-living populations. Animals are generally found in rock crevices and under stones. This species does not tolerate serious habitat degradation. The distribution of predators on the species is negatively associated with elevation, and reproductive success is positively associated with elevation.";;The major threats are predation by the introduced Viperine Snake ( Natrix maura ), and competition for space with Perez's Frog ( Rana perezi ). Development of tourism and human settlements, specifically the increased need for water resources (including damming and canalization of streams), is an additional threat. The threats are not likely to decrease, and so the current recovery programme needs to be continued more or less indefinitely. One isolated re-introduced population was impacted by an unidentified non-fungal disease in 2002 which killed some tadpoles. This disease did not recur in 2003 and 2004. Chytridiomycosis has been identified in the wild population, with the source of this chytrid infection traced to reintroduced captive-bred animals from Jersey Wildlife Preservation Trust, UK (Walker et al . 2008).
A4;Alytes_obstetricans;"It lives in terrestrial habitats, including temperate forests, semi-arid areas, walls, embankments, and slopes with small stones and sparse vegetation. Aquatic habitats in which the species breeds range from slow moving rivers to stagnant permanent ponds and pools; gravel and clay pits are also used. The larvae of this species frequently hibernate. The species can occur in suitable modified habitat such as traditional agricultural land, and even urban areas (e.g., in Barcelona).";;"General habitat loss, largely to agricultural development (including loss of breeding sites), has contributed to the decline of the species in some areas. Fragmentation of populations might be a problem for the species, e.g. in Spain, Portugal and Germany. Certain populations of the subspecies Alytes obstetricans pertinax in protected areas of central Spain have severely declined and disappeared as a result of chytridiomycosis (Bosch et al. , 2001; Bosch et al. , 2000); a few specimens have recently been found again in this area (M. García-París and J.W. Arntzen pers. comm.). Additional mortality of the species through disease (iridovirus) has been recorded in Carris Lake, Peneda-Gerês National Park, Portugal (Soares et al. , 2003); the disease might be non-native and have been transferred to the lake by an introduced North American predatory fish ( Lepomis gibbosus ). Mortality initially attributed to the bacteria Aeromonas hydrophila ""red-leg disease"" has also been reported (Márquez et al. 1995). Predation by L. gibbosus and other introduced predatory fish species, such as salmonids, is also a considerable threat to this species."
A13;Discoglossus_galganoi;It is generally found within or in the direct vicinity of water (with surrounding dense vegetation), including still waters, swamps, mountain streams, drinking troughs and sometimes-brackish waters. The terrestrial habitats of the species occur on granite and other metamorphic rocks, and include sandy areas close to the sea, open areas, meadows, thickets, gulley's and woodland edges. The species breeds, and larval development takes place, within shallow permanent or temporary waterbodies. It is often present in slightly modified areas, such as traditional farmland.;;The main threats to this species are both a general intensification of agriculture and the introduction of predatory fishes and crustaceans (especially the Louisiana Crayfish- Procambarus clarkii ) through much of the species range. Desertification is a threat to the species in the more arid parts of its range such as southern Portugal. Additionally, hydroelectric projects are leading to habitat loss in parts of Portugal. However, overall this species is probably not seriously threatened at present.
A14;Discoglossus_jeanneae;An inhabitant of open areas, pine groves and shrubland associated with limestone or gypsum soils. This is a very aquatic species found in shallow pools, streams, springs, ponds and artificial water sources, such as drinking troughs and drainage channels. Breeding and larval development takes place within the aquatic habitats. It can be present in traditionally farmed areas.;;The major threat to this species is continued loss of habitat as a result of increased aridity throughout its range. It is also threatened by loss of suitable habitat (including fragmentation) to agricultural and infrastructure development. The species is particularly impacted by the loss, or contamination, of aquatic habitats (such as drinking troughs), and introductions of predatory fish and crustaceans, in particular the Louisiana Crayfish ( Procambarus clarkii ). Its populations are now fragmented in many parts of its range.
A15;Discoglossus_montalentii;This frog is strongly associated with running waters in high-altitude pristine woods and forests, and is especially found in areas with precipitous streams. The eggs are deposited under rocks and stones in mountain streams, with larvae developing in these streams.;;This species is threatened by introduced predatory salmonid fishes.
A16;Discoglossus_pictus;It is present in a wide variety of Mediterranean habitats including open, sandy coastal areas, pastures, vineyards, woods and forests, often in dense vegetation close to waterbodies. It breeds in most types of still water habitats, and is sometimes present in marshes and brackish water. In Sicily, populations have been associated with irrigation channels, water cisterns, pipes and canals in cultivated areas.;;Sicilian populations appear to be locally threatened (but not especially endangered) by a decline of traditional land-use, including urbanization. Maltese populations are reported to be threatened by groundwater extraction.
A17;Discoglossus_sardus;"The species inhabits a wide range of aquatic and terrestrial habitats including still and slow-running waters in open or wooded (coniferous and broadleaf) areas and maccia; it may even occur in slightly brackish pools. The eggs are deposited between aquatic vegetation in streams, and the larvae develop in these streams. The species can tolerate some habitat disturbance.";;It is threatened by general loss of suitable woodland and aquatic habitats. Aquatic habitats used by this species on Corsica (and presumably on Sardinia) are being lost through damming of streams and increased water abstraction for tourism. However, overall this species does not appear to be significantly threatened. There were some die-offs of this species in Sardinia in 2004 and 2006, but the cause is unknown (Bovero et a l. 2008).
A5;Bombina_bombina;"Within Europe this species is associated with lowland areas of marshy or grassy wetlands, often along river valleys, with small, shallow, often-temporary lakes and ponds. In the former Soviet Union it has been reported from steppe, forest steppe, broad-leaved and mixed leafed coniferous forests, but it also inhabits open landscapes, using drainage channels as pathways for dispersal. At the southeastern margin of its distribution, the species lives in permanent freshwater bodies in river valleys surrounded by an arid saline landscape (solonetz-solonchak complex). It is primarily an aquatic animal living in shallow (less than 50-70cm depth) stagnant lakes, ponds, pools, swamps, peat bogs, ditches, flooded rice fields and quarries. It may occasionally be found in semi-flowing waters: springs, irrigation channels, rivers and stream pools and the water must generally be clear (for example in the Carpathian region, B. bombina lives in wetlands with clearer water than the congeneric Bombina variegata); however, near the southern margin of the range (such as southeastern Ukraine and the Krasnodar Region) the species often occurs in waters that have been polluted with industrial and agricultural chemicals such as settling and sedimentation reservoirs, rice fields, polluted ponds in rural and urban areas. The species breeds by larval development in pools with a good growth of sub-aquatic vegetation. Hybrid populations of this species with B. variegata have been recorded.";;In western and northern Europe the species is threatened by the loss of habitat through modernisation of agricultural methods, most significantly the drainage and/or pollution of suitable wetland areas. Recent declines in northwestern Europe might also be related to climate change. In Turkey it is threatened by urban development and agricultural development. Within the former Soviet Union destruction of wetlands is also the most serious threat, although industrial pollution and recreational activities also impact populations. Additional localized threats to this species include mortality on roads, entrapment in open wells with vertical walls, hybridization and replacement by Bombina variegata and collection for the pet trade. However, at a global scale this species is not significantly threatened.
