"code","habitat","suitability","season","majorimportance"
"AMP010101001","Forest - Boreal","Suitable",NA,NA
"AMP010101001","Forest - Subarctic","Suitable",NA,NA
"AMP010101001","Forest - Temperate","Suitable",NA,NA
"AMP010101001","Artificial/Terrestrial - Arable Land","Suitable",NA,NA
"AMP010101001","Artificial/Terrestrial - Pastureland","Marginal",NA,NA
"AMP010101001","Artificial/Terrestrial - Plantations","Marginal",NA,NA
"AMP010101001","Artificial/Terrestrial - Rural Gardens","Marginal",NA,NA
"AMP010101001","Artificial/Terrestrial - Urban Areas","Marginal",NA,NA
"AMP010101001","Artificial/Aquatic - Ponds (below 8ha)","Marginal",NA,NA
"AMP010101001","Artificial/Aquatic - Aquaculture Ponds","Marginal",NA,NA
"AMP010101001","Artificial/Aquatic - Excavations (open)","Marginal",NA,NA
"AMP010101001","Artificial/Aquatic - Wastewater Treatment Areas","Unknown",NA,NA
"AMP010101001","Artificial/Aquatic - Irrigated Land (includes irrigation channels)","Marginal",NA,NA
"AMP010101001","Artificial/Aquatic - Seasonally Flooded Agricultural Land","Unknown",NA,NA
"AMP010101001","Introduced vegetation","Marginal",NA,NA
"AMP010101001","Shrubland - Subarctic","Suitable",NA,NA
"AMP010101001","Shrubland - Temperate","Suitable",NA,NA
"AMP010101001","Grassland - Tundra","Unknown",NA,NA
"AMP010101001","Grassland - Subarctic","Marginal",NA,NA
"AMP010101001","Grassland - Temperate","Marginal",NA,NA
"AMP010101001","Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt)","Suitable",NA,NA
"AMP010101001","Wetlands (inland) - Permanent Inland Deltas","Unknown",NA,NA
"AMP010101001","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Suitable",NA,NA
"AMP010101001","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable",NA,NA
"AMP010101001","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010101001","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010101001","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010101001","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010201001","Forest - Temperate","Suitable",NA,"Yes"
"AMP010201001","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,"Yes"
"AMP010201002","Forest - Temperate","Suitable",NA,NA
"AMP010201002","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010201002","Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)","Marginal",NA,NA
"AMP010201002","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Suitable",NA,NA
"AMP010201002","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010201002","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010201002","Caves and Subterranean Habitats (non-aquatic) - Caves","Marginal",NA,NA
"AMP010202001","Forest - Temperate","Suitable",NA,NA
"AMP010202001","Artificial/Terrestrial - Plantations","Marginal",NA,NA
"AMP010202001","Shrubland - Temperate","Marginal",NA,NA
"AMP010202001","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010202001","Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)","Suitable",NA,NA
"AMP010202001","Caves and Subterranean Habitats (non-aquatic) - Caves","Suitable",NA,NA
"AMP010202001","Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats","Suitable",NA,NA
"AMP010203001","Forest - Temperate","Suitable",NA,NA
"AMP010203001","Shrubland - Temperate","Suitable",NA,NA
"AMP010203001","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010203001","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010203001","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010203002","Forest - Temperate","Suitable",NA,NA
"AMP010203002","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010203002","Shrubland - Temperate","Suitable",NA,NA
"AMP010203002","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010203002","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010203002","Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)","Suitable",NA,NA
"AMP010203002","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Suitable",NA,NA
"AMP010203002","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010203002","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010203002","Caves and Subterranean Habitats (non-aquatic) - Caves","Suitable",NA,NA
"AMP010204001","Forest - Temperate","Suitable",NA,NA
"AMP010204001","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010204001","Artificial/Terrestrial - Rural Gardens","Marginal",NA,NA
"AMP010204001","Artificial/Aquatic - Water Storage Areas (over 8ha)","Suitable",NA,NA
"AMP010204001","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010204001","Artificial/Aquatic - Excavations (open)","Suitable",NA,NA
"AMP010204001","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Marginal",NA,NA
"AMP010204001","Shrubland - Temperate","Suitable",NA,NA
"AMP010204001","Grassland - Temperate","Suitable",NA,NA
"AMP010204001","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Marginal",NA,NA
"AMP010204001","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable",NA,NA
"AMP010204001","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010204001","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010204001","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010204001","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205001","Forest - Temperate","Suitable",NA,NA
"AMP010205001","Artificial/Terrestrial - Arable Land","Suitable",NA,NA
"AMP010205001","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010205001","Artificial/Terrestrial - Rural Gardens","Suitable",NA,NA
"AMP010205001","Artificial/Aquatic - Water Storage Areas (over 8ha)","Suitable",NA,NA
"AMP010205001","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010205001","Introduced vegetation","Suitable",NA,NA
"AMP010205001","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010205001","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010205001","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Marginal",NA,NA
"AMP010205001","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable",NA,NA
"AMP010205001","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010205001","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010205001","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205001","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205003","Forest - Temperate","Suitable",NA,NA
"AMP010205003","Artificial/Terrestrial - Arable Land","Marginal",NA,NA
"AMP010205003","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010205003","Artificial/Terrestrial - Plantations","Marginal",NA,NA
"AMP010205003","Artificial/Terrestrial - Rural Gardens","Suitable",NA,NA
"AMP010205003","Artificial/Terrestrial - Urban Areas","Marginal",NA,NA
"AMP010205003","Artificial/Aquatic - Water Storage Areas (over 8ha)","Suitable",NA,NA
"AMP010205003","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010205003","Artificial/Aquatic - Excavations (open)","Suitable",NA,NA
"AMP010205003","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable",NA,NA
"AMP010205003","Shrubland - Temperate","Suitable",NA,NA
"AMP010205003","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Marginal",NA,NA
"AMP010205003","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Marginal",NA,NA
"AMP010205003","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable",NA,NA
"AMP010205003","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010205003","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010205003","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
